ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
AT2G24370,24.54080149,11.42562175,33.72180829,23.46797561,26.66976924,3.150138696,1.919932616,10.50251636
AT2G24390,34.64473311,31.26960832,58.49585188,61.8677181,85.28868356,51.62992756,80.16827689,75.80867825
AT2G24400,31.00840941,28.16703971,5.296147739,9.706681903,1.164097341,2.903728285,13.2913506,29.41258484
AT2G24410,1.429117943,7.405721013,7.040021138,1.251425731,1.875479589,2.424461181,5.613465656,15.02619079
AT2G24430,214.9740076,168.4110677,81.61604917,19.99970808,50.04735949,31.32683061,59.70930528,167.5181774
AT2G24460,2.273191167,1.32915423,4.806147632,2.003556477,2.838947204,1.745427163,1.101210009,2.136407939
AT2G24470,10.53280982,2.561586214,6.999144649,16.59313299,6.612866644,19.28952075,0.978728536,1.073523594
AT2G24300,98.31448776,71.79055728,90.34133852,57.00533717,83.37090895,110.9298148,92.55564219,108.4867579
AT2G24310,64.84997457,60.00878086,65.93348034,42.49848957,70.56353743,61.05428365,58.30606534,48.37180009
AT2G24320,32.43724882,15.95439073,43.53190818,28.18962772,32.10944913,31.44668881,28.90912016,43.06728433
AT2G24330,250.4028559,302.6394291,773.4050313,754.5596801,821.6632045,784.844477,391.8542108,362.6767859
AT2G24340,2.524188111,0.326374731,4.22261912,1.714511486,1.65555151,4.443364858,1.381822797,18.29531851
AT2G24350,109.2722813,93.01880498,22.69249838,79.481412,23.11435661,13.16539055,98.33912156,67.68126933
AT2G24440,519.7142768,415.1037903,60.09831733,58.54343946,76.42209884,85.25719511,130.193842,109.5397137
AT2G24490,354.9191169,464.404569,784.5686324,928.4980479,588.1485294,615.7633878,945.7401829,509.6382157
AT2G31955,3.428197584,1.331618632,26.23444736,23.54759029,2.720308849,12.64782265,6.021793836,15.20889059
AT2G32170,614.1802443,686.889691,1232.472456,1384.438621,1335.374586,1196.718158,1252.899705,1122.218253
AT2G32160,24.23667115,12.32109126,4.694387489,7.922112823,18.81551551,10.82175919,7.644483956,24.33861135
AT2G03550,23.12331234,41.02731519,11.45865315,14.20703256,4.461511815,10.16018896,25.8012802,5.880448347
AT2G03470,713.8852814,818.4773097,378.981094,504.0997719,650.0599816,643.851726,639.0201351,401.1540864
AT2G03460,4.271553034,6.119866361,4.638330058,22.56744206,13.12220183,16.87632237,2.01650641,6.672741306
AT2G03450,101.5769538,125.2870762,131.8823988,118.0645713,104.7114314,105.6696435,97.78519932,104.9764039
AT2G03430,749.0614923,641.9194232,1295.585061,1318.081506,1001.273977,882.4439702,811.7300912,683.9859681
AT2G03420,433.2885957,467.0326993,140.2188745,179.4472149,50.29799032,27.08566806,266.6388513,146.6249375
AT2G03410,3.023108454,2.304549545,5.569499153,2.184254282,4.228688488,4.73437103,1.76282368,5.400622174
AT2G03400,95.97439242,131.5170914,100.0902012,103.2067868,221.4189398,213.4163399,151.5846735,105.4473961
AT2G03390,981.859068,1141.283105,565.905142,696.9919712,807.72959,767.465211,759.7637001,685.9801622
AT2G03380,64.69876686,50.20887686,67.9710686,94.47746257,42.3157659,78.60516398,34.56828966,69.16813674
AT2G03540,4.409651263,25.00515082,3.386473454,2.688858386,1.827494918,3.316939433,1.753212571,4.248258764
AT2G03370,7.079334247,7.089934577,3.301411128,2.183456766,3.145710082,3.409131209,1.191355613,2.635426592
AT2G03360,4.787665118,2.81055415,6.592463661,30.11255316,4.251996174,8.243705141,2.401524466,27.9867608
AT2G03330,1889.187285,2370.128064,1034.722859,1178.376183,1159.136114,1250.955777,1203.800084,1482.302669
AT2G03530,23.11967832,24.50165493,60.09422687,104.8605921,52.51612758,50.12294696,61.84855356,166.6305233
AT2G03520,2.401184545,5.545124351,1573.185483,1318.957177,157.1615494,131.8551799,1.381863319,371.3577954
AT2G03480,177.3433089,227.6450029,611.0797671,703.9275382,311.5421093,417.7093052,560.0997181,415.5830656
AT2G03350,457.589933,353.7343177,340.2236619,305.676536,329.8076732,337.0185866,250.1984601,306.8966878
AT2G03510,2036.156663,1396.55725,2741.650393,3030.217899,1703.367404,1810.519597,2016.377651,2295.881067
AT2G03340,138.4477399,175.4421597,111.6521847,144.389936,163.8951486,126.6702144,195.6345919,132.7761928
AT2G03500,62.21377815,40.05609576,23.95713773,52.9790326,18.18870677,6.100379456,113.0128284,87.29333416
AT2G40110,489.7872787,450.2578286,189.6072408,151.9858293,139.9630873,141.2319803,509.6365903,534.8106728
AT2G40090,128.573873,155.3444791,332.2206787,360.8970443,439.7828619,461.6467098,323.2591447,273.0775641
AT2G40100,7909.729275,7263.978609,1650.826124,1238.257847,242.7629122,209.2043161,706.5551989,1249.053026
AT2G32140,43.76171197,11.21028042,4.200373652,38.30208408,9.048505401,2.287547168,3.79438913,20.63657086
AT2G32100,58.70682266,56.5766496,163.9574527,136.1185159,259.6758699,297.6451608,141.5798929,120.6120654
AT2G32030,127.2724463,90.6352014,97.0213937,70.84688995,55.37504022,32.68531022,62.49729146,77.83756662
AT2G32010,217.6033694,196.2310084,46.15394123,108.9160113,79.63083061,80.78514299,181.6581408,193.9857097
AT2G32000,308.117234,182.2745406,278.9740513,355.4894204,393.1838827,458.1747832,503.3900248,449.480446
AT2G31990,138.8696649,92.08925703,127.4650939,108.6152304,72.86095272,51.60731164,57.65120755,77.9521505
AT2G31960,984.8702528,967.7912486,887.0980143,915.0867717,893.0783247,973.0436632,1154.096413,1172.255592
AT2G32220,453.0194703,343.7311035,1588.91609,1094.938288,976.9904509,821.1149968,732.6407878,412.0029395
AT2G01130,6.906026891,37.29509628,74.85790898,58.92546495,146.3253012,148.8449761,125.2368569,97.66175727
AT2G01300,32.4478648,34.66069921,47.10855061,33.82870492,15.7811703,42.95643751,32.05198491,19.46793123
AT2G01190,474.5106669,1004.202922,545.4597155,907.1215125,603.3441707,570.4155522,300.0273492,443.2679296
AT2G01260,151.2338604,114.1638595,136.9776722,124.3176919,167.9237779,221.6043661,402.3700703,185.7893162
AT2G01140,8065.25782,11057.17134,8487.865443,8171.202023,8696.191894,7393.306301,6866.127822,8289.381956
AT2G01250,12216.21106,11525.04253,13438.49434,10195.41972,10928.69195,10370.05761,8551.86704,9964.547204
AT2G01180,435.3697917,442.0469579,1162.129115,528.2924724,302.7681002,223.4062699,453.3691576,321.9680401
AT2G01350,949.8350681,859.2489901,1026.032482,1068.96004,1543.066925,1301.902415,1340.828907,1191.223162
