,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT1G15080,16.48455116,17.6943287,23.98799393,45.04234656,335.6264517,169.261813,460.4796719,339.2923513,954.4485337,740.1795702,249.4575422,127.6041923,3.128972818,8.804459557
AT3G02600,561.444419,709.2476755,1426.898736,1340.00981,1006.879355,1220.466757,1254.618385,1430.23236,2138.489498,2231.576476,2237.252102,1234.611991,2216.877241,2458.400763
AT1G23010,1506.881912,2298.788204,2340.763924,5296.979956,194.1368691,68.72284135,155.5062498,184.1586803,1131.562695,853.803627,1946.218302,760.6535622,172.093505,128.1538002
AT1G71040,4169.621765,4276.129436,2581.41767,3481.773389,246.7841557,73.81342219,89.07639554,79.06812905,36.07881055,51.94242598,234.8496681,285.0379361,29.72524177,28.36992524
AT4G26466,0,0,1.547612512,0,0,0,0,0,0,0,5.618413113,16.57197303,14.08037768,19.56546568
AT2G24260,192.9662166,215.2809992,275.4750271,258.9934927,355.3691842,262.1649133,55.86146839,85.07330341,104.9565398,113.6240568,182.0365849,122.6326004,92.30469812,83.15322915
AT4G30980,27.15102545,8.847164351,30.95225023,22.52117328,111.8754839,92.90310035,60.39077664,37.03190854,183.6739446,187.6420138,82.02883145,8.285986516,14.08037768,6.847912988
AT5G58010,0,0,0,0,0,0,0,0,0,0,2.247365245,0,6.257945635,0.978273284
AT5G12330,107.6344223,97.31880786,185.7135014,148.6397437,440.9210248,736.8615767,606.9273052,922.7951264,95.11686419,37.00897851,6.742095736,3.314394606,3.128972818,3.913093136
AT1G09970,1447.731464,921.5796199,840.3535939,950.3935125,164.5227704,57.26903446,160.0355581,229.197488,131.1956747,89.60068481,142.7076931,278.4091469,8617.19114,15582.91514
AT5G16590,5645.473934,3046.373592,102.1424258,74.31987183,32.90455409,324.5245286,1570.160193,1008.869292,275.510917,504.4908123,161.8102977,889.9149518,0,2.934819852
AT3G05090,370.4175614,312.5998071,536.2477353,612.5759132,381.6928274,645.2311216,1064.387438,1807.557482,432.9457266,559.6796399,460.7098753,472.3012314,373.9122517,696.5305783
AT1G12040,0.96967948,0,0,0,0,0,0,0,0,0.649280325,0,0,3.128972818,0.978273284
AT1G62440,0,0,0,0,0,0,0,0,13.11956747,5.194242598,2.247365245,4.97159191,3.128972818,0
AT3G01510,5.818076881,41.28676697,198.0944015,245.4807888,118.4563947,100.5389716,241.5631065,284.2449196,970.8479931,794.7191174,161.8102977,72.91668134,0,12.71755269
AT5G28490,0,0,0.773806256,4.504234656,6.580910818,10.18116168,209.8579488,149.1284966,68.87772924,48.04674403,3.371047868,1.657197303,0,0
AT2G42610,3.878717921,0,0,0,0,0,3.019538832,2.001724786,6.559783737,0.649280325,0,0,0,0
AT3G04510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G31160,0,1.474527392,0,0,0,8.908516472,268.738956,544.4691418,141.0353503,212.9639465,115.7393101,202.178071,28.16075536,35.21783823
AT3G23290,1.93935896,2.949054784,1.547612512,4.504234656,0,11.45380689,110.2131674,182.1569555,200.073404,183.0970516,71.91568785,19.88636764,1.564486409,1.956546568
AT5G58500,17.45423064,22.11791088,38.69031279,76.57198916,6.580910818,2.545290421,7.54884708,3.002587179,6.559783737,0,3.371047868,0,0,0
AT1G07090,826.1669171,415.8167245,554.0452792,844.543998,26.32364327,34.36142068,34.72469657,80.06899145,0,15.58272779,19.10260458,23.20076224,4.693459227,0.978273284
AT1G78815,417.931856,529.3553337,100.5948133,132.8749224,3.290455409,2.545290421,1.509769416,3.002587179,0,0.649280325,1.123682623,0,0,0.978273284
AT1G16910,33.93878181,33.91413001,32.49986275,20.26905595,13.16182164,10.18116168,6.039077664,5.004311965,0,2.597121299,0,0,0,0
